,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
34,Resolve ticket,complete,Value 21,2010-02-17 09:44:53+00:00,Resolve ticket,Value 21,Case2118,Variant 1,1,Fluxicon Disco
35,Closed,complete,Value 21,2010-02-17 09:44:59+00:00,Closed,Value 21,Case2118,Variant 1,1,Fluxicon Disco
36,Assign seriousness,complete,Value 2,2010-01-14 10:35:38+00:00,Assign seriousness,Value 2,Case3625,Variant 4,4,Fluxicon Disco
37,Assign seriousness,complete,Value 2,2010-01-14 10:35:57+00:00,Assign seriousness,Value 2,Case3625,Variant 4,4,Fluxicon Disco
38,Take in charge ticket,complete,Value 2,2010-02-01 11:43:31+00:00,Take in charge ticket,Value 2,Case3625,Variant 4,4,Fluxicon Disco
39,Resolve ticket,complete,Value 2,2010-02-12 11:00:01+00:00,Resolve ticket,Value 2,Case3625,Variant 4,4,Fluxicon Disco
40,Closed,complete,Value 5,2010-02-27 11:00:17+00:00,Closed,Value 5,Case3625,Variant 4,4,Fluxicon Disco
41,Assign seriousness,complete,Value 2,2010-01-15 17:11:07+00:00,Assign seriousness,Value 2,Case1621,Variant 1,1,Fluxicon Disco
42,Take in charge ticket,complete,Value 2,2010-02-01 08:16:26+00:00,Take in charge ticket,Value 2,Case1621,Variant 1,1,Fluxicon Disco
43,Resolve ticket,complete,Value 2,2010-02-01 08:30:33+00:00,Resolve ticket,Value 2,Case1621,Variant 1,1,Fluxicon Disco
44,Closed,complete,Value 5,2010-02-16 08:30:55+00:00,Closed,Value 5,Case1621,Variant 1,1,Fluxicon Disco
45,Assign seriousness,complete,Value 2,2010-01-18 09:30:02+00:00,Assign seriousness,Value 2,Case390,Variant 1,1,Fluxicon Disco
46,Take in charge ticket,complete,Value 2,2010-01-18 09:30:24+00:00,Take in charge ticket,Value 2,Case390,Variant 1,1,Fluxicon Disco
47,Resolve ticket,complete,Value 2,2010-01-18 09:32:21+00:00,Resolve ticket,Value 2,Case390,Variant 1,1,Fluxicon Disco
48,Closed,complete,Value 5,2010-03-03 09:40:25+00:00,Closed,Value 5,Case390,Variant 1,1,Fluxicon Disco
49,Assign seriousness,complete,Value 2,2010-01-19 09:11:08+00:00,Assign seriousness,Value 2,Case1941,Variant 1,1,Fluxicon Disco
50,Take in charge ticket,complete,Value 2,2010-01-21 09:14:12+00:00,Take in charge ticket,Value 2,Case1941,Variant 1,1,Fluxicon Disco
51,Resolve ticket,complete,Value 2,2010-01-21 10:08:05+00:00,Resolve ticket,Value 2,Case1941,Variant 1,1,Fluxicon Disco
52,Closed,complete,Value 5,2010-02-19 09:20:25+00:00,Closed,Value 5,Case1941,Variant 1,1,Fluxicon Disco
53,Assign seriousness,complete,Value 2,2010-01-19 17:01:04+00:00,Assign seriousness,Value 2,Case404,Variant 1,1,Fluxicon Disco
54,Take in charge ticket,complete,Value 2,2010-02-11 14:30:44+00:00,Take in charge ticket,Value 2,Case404,Variant 1,1,Fluxicon Disco
55,Resolve ticket,complete,Value 2,2010-02-11 14:30:56+00:00,Resolve ticket,Value 2,Case404,Variant 1,1,Fluxicon Disco
56,Closed,complete,Value 5,2010-02-26 14:31:15+00:00,Closed,Value 5,Case404,Variant 1,1,Fluxicon Disco
57,Assign seriousness,complete,Value 2,2010-01-21 08:49:07+00:00,Assign seriousness,Value 2,Case791,Variant 1,1,Fluxicon Disco
58,Take in charge ticket,complete,Value 2,2010-02-19 10:43:41+00:00,Take in charge ticket,Value 2,Case791,Variant 1,1,Fluxicon Disco
59,Resolve ticket,complete,Value 2,2010-02-19 10:43:47+00:00,Resolve ticket,Value 2,Case791,Variant 1,1,Fluxicon Disco
60,Closed,complete,Value 5,2010-03-21 10:44:31+00:00,Closed,Value 5,Case791,Variant 1,1,Fluxicon Disco
61,Assign seriousness,complete,Value 2,2010-01-21 08:52:31+00:00,Assign seriousness,Value 2,Case1485,Variant 1,1,Fluxicon Disco
62,Take in charge ticket,complete,Value 2,2010-02-17 10:05:11+00:00,Take in charge ticket,Value 2,Case1485,Variant 1,1,Fluxicon Disco
63,Resolve ticket,complete,Value 2,2010-02-17 10:05:17+00:00,Resolve ticket,Value 2,Case1485,Variant 1,1,Fluxicon Disco
64,Closed,complete,Value 5,2010-03-04 10:05:28+00:00,Closed,Value 5,Case1485,Variant 1,1,Fluxicon Disco
65,Assign seriousness,complete,Value 2,2010-01-21 08:53:28+00:00,Assign seriousness,Value 2,Case1000,Variant 4,4,Fluxicon Disco
66,Assign seriousness,complete,Value 2,2010-01-21 08:53:34+00:00,Assign seriousness,Value 2,Case1000,Variant 4,4,Fluxicon Disco
67,Take in charge ticket,complete,Value 2,2010-01-21 08:53:40+00:00,Take in charge ticket,Value 2,Case1000,Variant 4,4,Fluxicon Disco
68,Resolve ticket,complete,Value 2,2010-01-26 14:06:53+00:00,Resolve ticket,Value 2,Case1000,Variant 4,4,Fluxicon Disco
69,Closed,complete,Value 5,2010-03-06 09:00:57+00:00,Closed,Value 5,Case1000,Variant 4,4,Fluxicon Disco
70,Assign seriousness,complete,Value 2,2010-01-21 08:57:25+00:00,Assign seriousness,Value 2,Case2915,Variant 4,4,Fluxicon Disco
71,Assign seriousness,complete,Value 2,2010-01-21 08:57:35+00:00,Assign seriousness,Value 2,Case2915,Variant 4,4,Fluxicon Disco
72,Take in charge ticket,complete,Value 10,2010-02-15 16:17:46+00:00,Take in charge ticket,Value 10,Case2915,Variant 4,4,Fluxicon Disco
73,Resolve ticket,complete,Value 10,2010-02-15 16:17:57+00:00,Resolve ticket,Value 10,Case2915,Variant 4,4,Fluxicon Disco
74,Closed,complete,Value 5,2010-03-02 16:18:12+00:00,Closed,Value 5,Case2915,Variant 4,4,Fluxicon Disco
75,Assign seriousness,complete,Value 2,2010-01-22 08:17:33+00:00,Assign seriousness,Value 2,Case1768,Variant 1,1,Fluxicon Disco
76,Take in charge ticket,complete,Value 11,2010-01-22 08:46:15+00:00,Take in charge ticket,Value 11,Case1768,Variant 1,1,Fluxicon Disco
77,Resolve ticket,complete,Value 11,2010-01-25 13:23:52+00:00,Resolve ticket,Value 11,Case1768,Variant 1,1,Fluxicon Disco
78,Closed,complete,Value 5,2010-03-14 10:38:11+00:00,Closed,Value 5,Case1768,Variant 1,1,Fluxicon Disco
79,Assign seriousness,complete,Value 2,2010-01-22 11:09:40+00:00,Assign seriousness,Value 2,Case1006,Variant 1,1,Fluxicon Disco
80,Take in charge ticket,complete,Value 2,2010-01-22 11:09:51+00:00,Take in charge ticket,Value 2,Case1006,Variant 1,1,Fluxicon Disco
81,Resolve ticket,complete,Value 2,2010-01-22 11:09:59+00:00,Resolve ticket,Value 2,Case1006,Variant 1,1,Fluxicon Disco
82,Closed,complete,Value 5,2010-03-11 11:10:33+00:00,Closed,Value 5,Case1006,Variant 1,1,Fluxicon Disco
83,Assign seriousness,complete,Value 2,2010-01-22 14:49:01+00:00,Assign seriousness,Value 2,Case2742,Variant 12,12,Fluxicon Disco
84,Take in charge ticket,complete,Value 2,2010-01-22 14:49:10+00:00,Take in charge ticket,Value 2,Case2742,Variant 12,12,Fluxicon Disco
85,Take in charge ticket,complete,Value 2,2010-02-22 13:53:42+00:00,Take in charge ticket,Value 2,Case2742,Variant 12,12,Fluxicon Disco
86,Resolve ticket,complete,Value 2,2010-02-22 13:53:49+00:00,Resolve ticket,Value 2,Case2742,Variant 12,12,Fluxicon Disco
87,Closed,complete,Value 5,2010-03-09 13:54:07+00:00,Closed,Value 5,Case2742,Variant 12,12,Fluxicon Disco
88,Assign seriousness,complete,Value 2,2010-01-26 11:36:21+00:00,Assign seriousness,Value 2,Case1223,Variant 9,9,Fluxicon Disco
89,Take in charge ticket,complete,Value 2,2010-01-26 11:36:30+00:00,Take in charge ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
90,Resolve ticket,complete,Value 2,2010-01-26 16:06:29+00:00,Resolve ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
91,Take in charge ticket,complete,Value 2,2010-01-27 14:28:58+00:00,Take in charge ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
92,Resolve ticket,complete,Value 2,2010-02-08 11:54:13+00:00,Resolve ticket,Value 2,Case1223,Variant 9,9,Fluxicon Disco
93,Closed,complete,Value 5,2010-03-11 11:40:48+00:00,Closed,Value 5,Case1223,Variant 9,9,Fluxicon Disco
94,Assign seriousness,complete,Value 2,2010-01-26 14:14:39+00:00,Assign seriousness,Value 2,Case1703,Variant 1,1,Fluxicon Disco
95,Take in charge ticket,complete,Value 2,2010-02-09 16:14:20+00:00,Take in charge ticket,Value 2,Case1703,Variant 1,1,Fluxicon Disco
96,Resolve ticket,complete,Value 2,2010-02-09 16:14:25+00:00,Resolve ticket,Value 2,Case1703,Variant 1,1,Fluxicon Disco
97,Closed,complete,Value 5,2010-03-11 16:14:54+00:00,Closed,Value 5,Case1703,Variant 1,1,Fluxicon Disco
98,Assign seriousness,complete,Value 2,2010-01-29 10:14:43+00:00,Assign seriousness,Value 2,Case4505,Variant 1,1,Fluxicon Disco
99,Take in charge ticket,complete,Value 2,2010-01-29 10:14:56+00:00,Take in charge ticket,Value 2,Case4505,Variant 1,1,Fluxicon Disco
100,Resolve ticket,complete,Value 2,2010-01-29 10:15:02+00:00,Resolve ticket,Value 2,Case4505,Variant 1,1,Fluxicon Disco
101,Closed,complete,Value 5,2010-03-03 10:20:47+00:00,Closed,Value 5,Case4505,Variant 1,1,Fluxicon Disco
102,Assign seriousness,complete,Value 2,2010-02-02 09:49:41+00:00,Assign seriousness,Value 2,Case2441,Variant 4,4,Fluxicon Disco
103,Assign seriousness,complete,Value 2,2010-02-15 15:57:27+00:00,Assign seriousness,Value 2,Case2441,Variant 4,4,Fluxicon Disco
104,Take in charge ticket,complete,Value 2,2010-02-15 15:57:33+00:00,Take in charge ticket,Value 2,Case2441,Variant 4,4,Fluxicon Disco
105,Resolve ticket,complete,Value 2,2010-02-15 15:57:38+00:00,Resolve ticket,Value 2,Case2441,Variant 4,4,Fluxicon Disco
106,Closed,complete,Value 5,2010-03-05 09:50:31+00:00,Closed,Value 5,Case2441,Variant 4,4,Fluxicon Disco
107,Assign seriousness,complete,Value 2,2010-02-02 09:52:38+00:00,Assign seriousness,Value 2,Case588,Variant 1,1,Fluxicon Disco
108,Take in charge ticket,complete,Value 2,2010-02-17 16:24:59+00:00,Take in charge ticket,Value 2,Case588,Variant 1,1,Fluxicon Disco
109,Resolve ticket,complete,Value 2,2010-02-19 08:23:45+00:00,Resolve ticket,Value 2,Case588,Variant 1,1,Fluxicon Disco
110,Closed,complete,Value 5,2010-03-06 08:24:05+00:00,Closed,Value 5,Case588,Variant 1,1,Fluxicon Disco
111,Assign seriousness,complete,Value 2,2010-02-02 09:57:11+00:00,Assign seriousness,Value 2,Case1400,Variant 1,1,Fluxicon Disco
112,Take in charge ticket,complete,Value 2,2010-02-02 09:57:23+00:00,Take in charge ticket,Value 2,Case1400,Variant 1,1,Fluxicon Disco
113,Resolve ticket,complete,Value 2,2010-02-02 09:57:29+00:00,Resolve ticket,Value 2,Case1400,Variant 1,1,Fluxicon Disco
114,Closed,complete,Value 5,2010-03-18 10:00:48+00:00,Closed,Value 5,Case1400,Variant 1,1,Fluxicon Disco
115,Assign seriousness,complete,Value 2,2010-02-02 10:17:37+00:00,Assign seriousness,Value 2,Case1196,Variant 1,1,Fluxicon Disco
116,Take in charge ticket,complete,Value 10,2010-02-15 16:21:37+00:00,Take in charge ticket,Value 10,Case1196,Variant 1,1,Fluxicon Disco
117,Resolve ticket,complete,Value 10,2010-02-15 16:22:30+00:00,Resolve ticket,Value 10,Case1196,Variant 1,1,Fluxicon Disco
118,Closed,complete,Value 5,2010-03-20 10:20:28+00:00,Closed,Value 5,Case1196,Variant 1,1,Fluxicon Disco
119,Assign seriousness,complete,Value 2,2010-02-02 10:18:33+00:00,Assign seriousness,Value 2,Case1468,Variant 4,4,Fluxicon Disco
120,Assign seriousness,complete,Value 16,2010-03-05 12:28:51+00:00,Assign seriousness,Value 16,Case1468,Variant 4,4,Fluxicon Disco
121,Take in charge ticket,complete,Value 16,2010-03-05 12:28:58+00:00,Take in charge ticket,Value 16,Case1468,Variant 4,4,Fluxicon Disco
122,Resolve ticket,complete,Value 16,2010-03-05 13:45:01+00:00,Resolve ticket,Value 16,Case1468,Variant 4,4,Fluxicon Disco
123,Closed,complete,Value 5,2010-03-20 13:45:16+00:00,Closed,Value 5,Case1468,Variant 4,4,Fluxicon Disco
124,Assign seriousness,complete,Value 2,2010-02-02 13:49:13+00:00,Assign seriousness,Value 2,Case189,Variant 4,4,Fluxicon Disco
125,Assign seriousness,complete,Value 2,2010-02-02 14:04:15+00:00,Assign seriousness,Value 2,Case189,Variant 4,4,Fluxicon Disco
126,Take in charge ticket,complete,Value 2,2010-02-03 14:27:07+00:00,Take in charge ticket,Value 2,Case189,Variant 4,4,Fluxicon Disco
127,Resolve ticket,complete,Value 2,2010-02-03 14:27:16+00:00,Resolve ticket,Value 2,Case189,Variant 4,4,Fluxicon Disco
128,Closed,complete,Value 5,2010-03-18 13:50:26+00:00,Closed,Value 5,Case189,Variant 4,4,Fluxicon Disco
129,Assign seriousness,complete,Value 2,2010-02-04 08:20:45+00:00,Assign seriousness,Value 2,Case4378,Variant 13,13,Fluxicon Disco
130,Assign seriousness,complete,Value 2,2010-02-04 08:21:00+00:00,Assign seriousness,Value 2,Case4378,Variant 13,13,Fluxicon Disco
131,Take in charge ticket,complete,Value 2,2010-02-16 10:20:28+00:00,Take in charge ticket,Value 2,Case4378,Variant 13,13,Fluxicon Disco
132,Wait,complete,Value 2,2010-02-16 10:20:37+00:00,Wait,Value 2,Case4378,Variant 13,13,Fluxicon Disco
133,Take in charge ticket,complete,Value 2,2010-02-17 08:45:28+00:00,Take in charge ticket,Value 2,Case4378,Variant 13,13,Fluxicon Disco
134,Resolve ticket,complete,Value 2,2010-02-17 11:34:58+00:00,Resolve ticket,Value 2,Case4378,Variant 13,13,Fluxicon Disco
135,Closed,complete,Value 5,2010-04-03 10:35:20+00:00,Closed,Value 5,Case4378,Variant 13,13,Fluxicon Disco
136,Assign seriousness,complete,Value 2,2010-02-04 08:22:39+00:00,Assign seriousness,Value 2,Case3806,Variant 38,38,Fluxicon Disco
137,Take in charge ticket,complete,Value 2,2010-02-04 08:22:54+00:00,Take in charge ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
138,Wait,complete,Value 2,2010-02-04 09:07:26+00:00,Wait,Value 2,Case3806,Variant 38,38,Fluxicon Disco
139,Take in charge ticket,complete,Value 2,2010-02-26 08:53:59+00:00,Take in charge ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
140,Resolve ticket,complete,Value 2,2010-02-26 08:54:05+00:00,Resolve ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
141,Resolve ticket,complete,Value 2,2010-02-26 09:31:08+00:00,Resolve ticket,Value 2,Case3806,Variant 38,38,Fluxicon Disco
142,Closed,complete,Value 5,2010-03-13 09:31:19+00:00,Closed,Value 5,Case3806,Variant 38,38,Fluxicon Disco
143,Assign seriousness,complete,Value 2,2010-02-04 09:40:52+00:00,Assign seriousness,Value 2,Case1030,Variant 115,115,Fluxicon Disco
144,Assign seriousness,complete,Value 2,2010-02-04 09:41:05+00:00,Assign seriousness,Value 2,Case1030,Variant 115,115,Fluxicon Disco
145,Take in charge ticket,complete,Value 2,2010-02-04 09:41:23+00:00,Take in charge ticket,Value 2,Case1030,Variant 115,115,Fluxicon Disco
146,Create SW anomaly,complete,Value 2,2010-02-04 09:41:33+00:00,Create SW anomaly,Value 2,Case1030,Variant 115,115,Fluxicon Disco
147,Resolve ticket,complete,Value 2,2010-02-22 14:05:31+00:00,Resolve ticket,Value 2,Case1030,Variant 115,115,Fluxicon Disco
148,Closed,complete,Value 5,2010-03-09 14:05:44+00:00,Closed,Value 5,Case1030,Variant 115,115,Fluxicon Disco
149,Assign seriousness,complete,Value 2,2010-02-04 10:36:44+00:00,Assign seriousness,Value 2,Case1798,Variant 19,19,Fluxicon Disco
150,Take in charge ticket,complete,Value 2,2010-02-04 10:49:49+00:00,Take in charge ticket,Value 2,Case1798,Variant 19,19,Fluxicon Disco
151,Create SW anomaly,complete,Value 2,2010-02-04 10:49:57+00:00,Create SW anomaly,Value 2,Case1798,Variant 19,19,Fluxicon Disco
152,Resolve ticket,complete,Value 2,2010-03-16 15:09:50+00:00,Resolve ticket,Value 2,Case1798,Variant 19,19,Fluxicon Disco
153,Closed,complete,Value 5,2010-03-31 14:10:02+00:00,Closed,Value 5,Case1798,Variant 19,19,Fluxicon Disco
154,Assign seriousness,complete,Value 2,2010-02-04 10:37:45+00:00,Assign seriousness,Value 2,Case2088,Variant 19,19,Fluxicon Disco
155,Take in charge ticket,complete,Value 2,2010-02-04 11:01:28+00:00,Take in charge ticket,Value 2,Case2088,Variant 19,19,Fluxicon Disco
156,Create SW anomaly,complete,Value 2,2010-02-04 11:01:35+00:00,Create SW anomaly,Value 2,Case2088,Variant 19,19,Fluxicon Disco
157,Resolve ticket,complete,Value 2,2010-03-16 15:08:40+00:00,Resolve ticket,Value 2,Case2088,Variant 19,19,Fluxicon Disco
158,Closed,complete,Value 5,2010-03-31 14:08:53+00:00,Closed,Value 5,Case2088,Variant 19,19,Fluxicon Disco
159,Assign seriousness,complete,Value 2,2010-02-05 11:15:48+00:00,Assign seriousness,Value 2,Case765,Variant 1,1,Fluxicon Disco
160,Take in charge ticket,complete,Value 2,2010-02-12 11:14:18+00:00,Take in charge ticket,Value 2,Case765,Variant 1,1,Fluxicon Disco
161,Resolve ticket,complete,Value 2,2010-02-24 17:09:08+00:00,Resolve ticket,Value 2,Case765,Variant 1,1,Fluxicon Disco
162,Closed,complete,Value 5,2010-03-11 17:09:42+00:00,Closed,Value 5,Case765,Variant 1,1,Fluxicon Disco
163,Assign seriousness,complete,Value 2,2010-02-08 11:02:38+00:00,Assign seriousness,Value 2,Case2131,Variant 1,1,Fluxicon Disco
164,Take in charge ticket,complete,Value 2,2010-02-19 17:03:44+00:00,Take in charge ticket,Value 2,Case2131,Variant 1,1,Fluxicon Disco
165,Resolve ticket,complete,Value 2,2010-02-19 17:03:53+00:00,Resolve ticket,Value 2,Case2131,Variant 1,1,Fluxicon Disco
166,Closed,complete,Value 5,2010-03-26 11:12:43+00:00,Closed,Value 5,Case2131,Variant 1,1,Fluxicon Disco
167,Assign seriousness,complete,Value 16,2010-02-08 15:06:58+00:00,Assign seriousness,Value 16,Case1191,Variant 3,3,Fluxicon Disco
168,Take in charge ticket,complete,Value 16,2010-02-08 15:12:00+00:00,Take in charge ticket,Value 16,Case1191,Variant 3,3,Fluxicon Disco
169,Wait,complete,Value 16,2010-02-08 15:12:28+00:00,Wait,Value 16,Case1191,Variant 3,3,Fluxicon Disco
170,Take in charge ticket,complete,Value 12,2010-02-25 16:56:34+00:00,Take in charge ticket,Value 12,Case1191,Variant 3,3,Fluxicon Disco
171,Resolve ticket,complete,Value 12,2010-02-26 09:09:32+00:00,Resolve ticket,Value 12,Case1191,Variant 3,3,Fluxicon Disco
172,Closed,complete,Value 5,2010-03-28 08:10:03+00:00,Closed,Value 5,Case1191,Variant 3,3,Fluxicon Disco
173,Assign seriousness,complete,Value 16,2010-02-09 08:31:47+00:00,Assign seriousness,Value 16,Case81,Variant 16,16,Fluxicon Disco
174,Take in charge ticket,complete,Value 16,2010-02-09 08:35:12+00:00,Take in charge ticket,Value 16,Case81,Variant 16,16,Fluxicon Disco
175,Wait,complete,Value 16,2010-02-09 08:35:26+00:00,Wait,Value 16,Case81,Variant 16,16,Fluxicon Disco
176,Wait,complete,Value 2,2010-02-09 08:36:27+00:00,Wait,Value 2,Case81,Variant 16,16,Fluxicon Disco
177,Take in charge ticket,complete,Value 11,2010-02-19 08:31:40+00:00,Take in charge ticket,Value 11,Case81,Variant 16,16,Fluxicon Disco
178,Resolve ticket,complete,Value 11,2010-02-19 08:32:00+00:00,Resolve ticket,Value 11,Case81,Variant 16,16,Fluxicon Disco
179,Closed,complete,Value 5,2010-04-09 07:40:43+00:00,Closed,Value 5,Case81,Variant 16,16,Fluxicon Disco
180,Assign seriousness,complete,Value 2,2010-02-09 08:47:01+00:00,Assign seriousness,Value 2,Case3918,Variant 1,1,Fluxicon Disco
181,Take in charge ticket,complete,Value 2,2010-03-09 15:17:24+00:00,Take in charge ticket,Value 2,Case3918,Variant 1,1,Fluxicon Disco
182,Resolve ticket,complete,Value 2,2010-03-09 15:17:28+00:00,Resolve ticket,Value 2,Case3918,Variant 1,1,Fluxicon Disco
183,Closed,complete,Value 5,2010-03-24 15:17:46+00:00,Closed,Value 5,Case3918,Variant 1,1,Fluxicon Disco
184,Assign seriousness,complete,Value 2,2010-02-09 14:31:28+00:00,Assign seriousness,Value 2,Case899,Variant 112,112,Fluxicon Disco
185,Take in charge ticket,complete,Value 2,2010-02-09 14:31:46+00:00,Take in charge ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
186,Create SW anomaly,complete,Value 2,2010-02-09 14:32:02+00:00,Create SW anomaly,Value 2,Case899,Variant 112,112,Fluxicon Disco
187,Resolve ticket,complete,Value 2,2010-03-22 16:18:31+00:00,Resolve ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
188,Take in charge ticket,complete,Value 2,2010-03-22 16:18:50+00:00,Take in charge ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
189,Create SW anomaly,complete,Value 2,2010-03-22 16:18:56+00:00,Create SW anomaly,Value 2,Case899,Variant 112,112,Fluxicon Disco
190,Resolve ticket,complete,Value 2,2010-03-22 16:22:09+00:00,Resolve ticket,Value 2,Case899,Variant 112,112,Fluxicon Disco
191,Closed,complete,Value 5,2010-04-06 15:22:17+00:00,Closed,Value 5,Case899,Variant 112,112,Fluxicon Disco
192,Assign seriousness,complete,Value 2,2010-02-09 16:07:04+00:00,Assign seriousness,Value 2,Case1130,Variant 1,1,Fluxicon Disco
193,Take in charge ticket,complete,Value 2,2010-02-09 16:07:11+00:00,Take in charge ticket,Value 2,Case1130,Variant 1,1,Fluxicon Disco
194,Resolve ticket,complete,Value 2,2010-02-09 16:07:18+00:00,Resolve ticket,Value 2,Case1130,Variant 1,1,Fluxicon Disco
195,Closed,complete,Value 5,2010-03-29 15:11:23+00:00,Closed,Value 5,Case1130,Variant 1,1,Fluxicon Disco
196,Assign seriousness,complete,Value 2,2010-02-09 16:10:28+00:00,Assign seriousness,Value 2,Case3849,Variant 6,6,Fluxicon Disco
197,Take in charge ticket,complete,Value 2,2010-03-19 08:41:33+00:00,Take in charge ticket,Value 2,Case3849,Variant 6,6,Fluxicon Disco
198,Resolve ticket,complete,Value 2,2010-03-19 08:41:38+00:00,Resolve ticket,Value 2,Case3849,Variant 6,6,Fluxicon Disco
199,Resolve ticket,complete,Value 2,2010-03-19 08:51:04+00:00,Resolve ticket,Value 2,Case3849,Variant 6,6,Fluxicon Disco
