,case_id,prefix_length,activities,resources,timestamps,next_activity
20,Case1005,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2']","[Timestamp('2010-12-22 08:35:14+0000', tz='UTC'), Timestamp('2010-12-22 08:49:10+0000', tz='UTC')]",Resolve ticket
21,Case1006,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-01-22 11:09:40+0000', tz='UTC')]",Take in charge ticket
22,Case1006,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-01-22 11:09:40+0000', tz='UTC'), Timestamp('2010-01-22 11:09:51+0000', tz='UTC')]",Resolve ticket
23,Case1007,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-10-10 10:47:41+0000', tz='UTC')]",Take in charge ticket
24,Case1007,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2012-10-10 10:47:41+0000', tz='UTC'), Timestamp('2012-10-25 10:23:49+0000', tz='UTC')]",Resolve ticket
25,Case1008,1,['Assign seriousness'],['Value 4'],"[Timestamp('2011-10-25 14:35:19+0000', tz='UTC')]",Take in charge ticket
26,Case1008,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 16']","[Timestamp('2011-10-25 14:35:19+0000', tz='UTC'), Timestamp('2011-10-26 07:19:46+0000', tz='UTC')]",Resolve ticket
27,Case1009,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-05-18 12:11:25+0000', tz='UTC')]",Take in charge ticket
28,Case1009,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2012-05-18 12:11:25+0000', tz='UTC'), Timestamp('2012-05-18 14:23:17+0000', tz='UTC')]",Wait
29,Case1009,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 9', 'Value 9']","[Timestamp('2012-05-18 12:11:25+0000', tz='UTC'), Timestamp('2012-05-18 14:23:17+0000', tz='UTC'), Timestamp('2012-05-18 15:07:29+0000', tz='UTC')]",Resolve ticket
30,Case101,1,['Insert ticket'],['Value 15'],"[Timestamp('2010-06-18 13:47:15+0000', tz='UTC')]",Assign seriousness
31,Case101,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[Timestamp('2010-06-18 13:47:15+0000', tz='UTC'), Timestamp('2010-06-18 14:18:15+0000', tz='UTC')]",Take in charge ticket
32,Case101,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 2']","[Timestamp('2010-06-18 13:47:15+0000', tz='UTC'), Timestamp('2010-06-18 14:18:15+0000', tz='UTC'), Timestamp('2010-06-29 07:35:47+0000', tz='UTC')]",Resolve ticket
33,Case1010,1,['Assign seriousness'],['Value 14'],"[Timestamp('2013-06-21 07:11:34+0000', tz='UTC')]",Take in charge ticket
34,Case1010,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 2']","[Timestamp('2013-06-21 07:11:34+0000', tz='UTC'), Timestamp('2013-06-24 10:06:24+0000', tz='UTC')]",Require upgrade
35,Case1010,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 14', 'Value 2', 'Value 1']","[Timestamp('2013-06-21 07:11:34+0000', tz='UTC'), Timestamp('2013-06-24 10:06:24+0000', tz='UTC'), Timestamp('2013-06-28 10:12:09+0000', tz='UTC')]",Resolve ticket
36,Case1011,1,['Insert ticket'],['Value 15'],"[Timestamp('2011-09-06 15:37:27+0000', tz='UTC')]",Assign seriousness
37,Case1011,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[Timestamp('2011-09-06 15:37:27+0000', tz='UTC'), Timestamp('2011-09-06 15:44:32+0000', tz='UTC')]",Take in charge ticket
38,Case1011,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 15']","[Timestamp('2011-09-06 15:37:27+0000', tz='UTC'), Timestamp('2011-09-06 15:44:32+0000', tz='UTC'), Timestamp('2011-09-06 15:44:54+0000', tz='UTC')]",Resolve ticket
39,Case1012,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-05-25 15:14:28+0000', tz='UTC')]",Take in charge ticket
40,Case1012,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-05-25 15:14:28+0000', tz='UTC'), Timestamp('2010-05-28 15:38:09+0000', tz='UTC')]",Resolve ticket
41,Case1013,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-11-30 16:32:54+0000', tz='UTC')]",Resolve ticket
42,Case1014,1,['Assign seriousness'],['Value 8'],"[Timestamp('2010-12-28 10:41:06+0000', tz='UTC')]",Take in charge ticket
43,Case1014,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 6']","[Timestamp('2010-12-28 10:41:06+0000', tz='UTC'), Timestamp('2010-12-30 08:50:44+0000', tz='UTC')]",Wait
44,Case1014,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 6', 'Value 6']","[Timestamp('2010-12-28 10:41:06+0000', tz='UTC'), Timestamp('2010-12-30 08:50:44+0000', tz='UTC'), Timestamp('2010-12-30 08:51:13+0000', tz='UTC')]",Take in charge ticket
45,Case1014,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 6', 'Value 6', 'Value 6']","[Timestamp('2010-12-28 10:41:06+0000', tz='UTC'), Timestamp('2010-12-30 08:50:44+0000', tz='UTC'), Timestamp('2010-12-30 08:51:13+0000', tz='UTC'), Timestamp('2011-01-13 16:53:03+0000', tz='UTC')]",Resolve ticket
46,Case1015,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-02-10 14:44:10+0000', tz='UTC')]",Take in charge ticket
47,Case1015,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2012-02-10 14:44:10+0000', tz='UTC'), Timestamp('2012-02-10 15:48:04+0000', tz='UTC')]",Resolve ticket
48,Case1016,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-04-13 07:43:01+0000', tz='UTC')]",Take in charge ticket
49,Case1016,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-04-13 07:43:01+0000', tz='UTC'), Timestamp('2011-04-13 07:45:30+0000', tz='UTC')]",Resolve ticket
50,Case1017,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-09-07 12:24:46+0000', tz='UTC')]",Take in charge ticket
51,Case1017,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 3']","[Timestamp('2012-09-07 12:24:46+0000', tz='UTC'), Timestamp('2012-09-10 09:51:17+0000', tz='UTC')]",Wait
52,Case1017,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 3', 'Value 4']","[Timestamp('2012-09-07 12:24:46+0000', tz='UTC'), Timestamp('2012-09-10 09:51:17+0000', tz='UTC'), Timestamp('2012-09-17 09:56:36+0000', tz='UTC')]",Resolve ticket
53,Case1017,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 3', 'Value 4', 'Value 4']","[Timestamp('2012-09-07 12:24:46+0000', tz='UTC'), Timestamp('2012-09-10 09:51:17+0000', tz='UTC'), Timestamp('2012-09-17 09:56:36+0000', tz='UTC'), Timestamp('2012-10-02 07:03:02+0000', tz='UTC')]",Resolve ticket
54,Case1018,1,['Assign seriousness'],['Value 14'],"[Timestamp('2010-09-16 09:03:22+0000', tz='UTC')]",Take in charge ticket
55,Case1018,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 14']","[Timestamp('2010-09-16 09:03:22+0000', tz='UTC'), Timestamp('2010-09-16 09:48:31+0000', tz='UTC')]",Resolve ticket
56,Case1019,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-02-14 15:35:55+0000', tz='UTC')]",Take in charge ticket
57,Case1019,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2013-02-14 15:35:55+0000', tz='UTC'), Timestamp('2013-03-04 08:12:43+0000', tz='UTC')]",Wait
58,Case1019,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 1']","[Timestamp('2013-02-14 15:35:55+0000', tz='UTC'), Timestamp('2013-03-04 08:12:43+0000', tz='UTC'), Timestamp('2013-03-04 08:33:32+0000', tz='UTC')]",Resolve ticket
59,Case102,1,['Assign seriousness'],['Value 4'],"[Timestamp('2012-01-30 09:09:29+0000', tz='UTC')]",Take in charge ticket
60,Case102,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[Timestamp('2012-01-30 09:09:29+0000', tz='UTC'), Timestamp('2012-01-30 09:09:57+0000', tz='UTC')]",Resolve ticket
61,Case1020,1,['Assign seriousness'],['Value 4'],"[Timestamp('2012-05-15 08:09:38+0000', tz='UTC')]",Take in charge ticket
62,Case1020,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[Timestamp('2012-05-15 08:09:38+0000', tz='UTC'), Timestamp('2012-05-15 08:09:57+0000', tz='UTC')]",Wait
63,Case1020,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 4', 'Value 4', 'Value 4']","[Timestamp('2012-05-15 08:09:38+0000', tz='UTC'), Timestamp('2012-05-15 08:09:57+0000', tz='UTC'), Timestamp('2012-05-28 15:21:32+0000', tz='UTC')]",Resolve ticket
64,Case1021,1,['Assign seriousness'],['Value 6'],"[Timestamp('2010-05-18 14:59:36+0000', tz='UTC')]",Take in charge ticket
65,Case1021,2,"['Assign seriousness', 'Take in charge ticket']","['Value 6', 'Value 2']","[Timestamp('2010-05-18 14:59:36+0000', tz='UTC'), Timestamp('2010-05-19 08:08:06+0000', tz='UTC')]",Resolve ticket
66,Case1022,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-01-05 16:55:40+0000', tz='UTC')]",Assign seriousness
67,Case1022,2,"['Assign seriousness', 'Assign seriousness']","['Value 1', 'Value 1']","[Timestamp('2012-01-05 16:55:40+0000', tz='UTC'), Timestamp('2012-01-05 16:55:53+0000', tz='UTC')]",Take in charge ticket
68,Case1022,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1', 'Value 2']","[Timestamp('2012-01-05 16:55:40+0000', tz='UTC'), Timestamp('2012-01-05 16:55:53+0000', tz='UTC'), Timestamp('2012-01-11 11:59:45+0000', tz='UTC')]",Resolve ticket
69,Case1023,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-03-12 09:39:30+0000', tz='UTC')]",Resolve ticket
70,Case1023,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 2']","[Timestamp('2013-03-12 09:39:30+0000', tz='UTC'), Timestamp('2013-03-28 13:14:48+0000', tz='UTC')]",Resolve ticket
71,Case1024,1,['Assign seriousness'],['Value 13'],"[Timestamp('2011-07-14 07:22:19+0000', tz='UTC')]",Assign seriousness
72,Case1024,2,"['Assign seriousness', 'Assign seriousness']","['Value 13', 'Value 15']","[Timestamp('2011-07-14 07:22:19+0000', tz='UTC'), Timestamp('2011-07-15 10:40:41+0000', tz='UTC')]",Take in charge ticket
73,Case1024,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 15', 'Value 15']","[Timestamp('2011-07-14 07:22:19+0000', tz='UTC'), Timestamp('2011-07-15 10:40:41+0000', tz='UTC'), Timestamp('2011-07-15 12:44:17+0000', tz='UTC')]",Resolve ticket
74,Case1025,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-03-18 09:41:58+0000', tz='UTC')]",Take in charge ticket
75,Case1025,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-03-18 09:41:58+0000', tz='UTC'), Timestamp('2011-03-18 09:42:34+0000', tz='UTC')]",Wait
76,Case1025,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 2']","[Timestamp('2011-03-18 09:41:58+0000', tz='UTC'), Timestamp('2011-03-18 09:42:34+0000', tz='UTC'), Timestamp('2011-03-25 14:24:59+0000', tz='UTC')]",Take in charge ticket
77,Case1025,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 2', 'Value 2']","[Timestamp('2011-03-18 09:41:58+0000', tz='UTC'), Timestamp('2011-03-18 09:42:34+0000', tz='UTC'), Timestamp('2011-03-25 14:24:59+0000', tz='UTC'), Timestamp('2011-04-20 15:42:11+0000', tz='UTC')]",Resolve ticket
78,Case1026,1,['Assign seriousness'],['Value 14'],"[Timestamp('2013-05-13 15:56:12+0000', tz='UTC')]",Take in charge ticket
79,Case1026,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 2']","[Timestamp('2013-05-13 15:56:12+0000', tz='UTC'), Timestamp('2013-05-20 08:37:45+0000', tz='UTC')]",Require upgrade
80,Case1026,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 14', 'Value 2', 'Value 4']","[Timestamp('2013-05-13 15:56:12+0000', tz='UTC'), Timestamp('2013-05-20 08:37:45+0000', tz='UTC'), Timestamp('2013-05-20 08:38:03+0000', tz='UTC')]",Resolve ticket
81,Case1027,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-04-16 13:36:13+0000', tz='UTC')]",Take in charge ticket
82,Case1027,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2013-04-16 13:36:13+0000', tz='UTC'), Timestamp('2013-04-29 08:23:18+0000', tz='UTC')]",Wait
83,Case1027,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 14']","[Timestamp('2013-04-16 13:36:13+0000', tz='UTC'), Timestamp('2013-04-29 08:23:18+0000', tz='UTC'), Timestamp('2013-04-29 15:18:01+0000', tz='UTC')]",Resolve ticket
84,Case1028,1,['Assign seriousness'],['Value 8'],"[Timestamp('2010-12-28 08:31:42+0000', tz='UTC')]",Take in charge ticket
85,Case1028,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 6']","[Timestamp('2010-12-28 08:31:42+0000', tz='UTC'), Timestamp('2011-01-14 10:45:45+0000', tz='UTC')]",Resolve ticket
86,Case1029,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-05-09 09:25:28+0000', tz='UTC')]",Take in charge ticket
87,Case1029,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 10']","[Timestamp('2012-05-09 09:25:28+0000', tz='UTC'), Timestamp('2012-05-09 13:22:38+0000', tz='UTC')]",Resolve ticket
88,Case103,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-06-07 07:30:54+0000', tz='UTC')]",Assign seriousness
89,Case103,2,"['Assign seriousness', 'Assign seriousness']","['Value 2', 'Value 2']","[Timestamp('2010-06-07 07:30:54+0000', tz='UTC'), Timestamp('2010-06-07 07:49:10+0000', tz='UTC')]",Take in charge ticket
90,Case103,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 15']","[Timestamp('2010-06-07 07:30:54+0000', tz='UTC'), Timestamp('2010-06-07 07:49:10+0000', tz='UTC'), Timestamp('2010-06-07 15:16:44+0000', tz='UTC')]",Wait
91,Case103,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 2', 'Value 2', 'Value 15', 'Value 15']","[Timestamp('2010-06-07 07:30:54+0000', tz='UTC'), Timestamp('2010-06-07 07:49:10+0000', tz='UTC'), Timestamp('2010-06-07 15:16:44+0000', tz='UTC'), Timestamp('2010-06-08 10:37:29+0000', tz='UTC')]",Take in charge ticket
92,Case103,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 15', 'Value 15', 'Value 15']","[Timestamp('2010-06-07 07:30:54+0000', tz='UTC'), Timestamp('2010-06-07 07:49:10+0000', tz='UTC'), Timestamp('2010-06-07 15:16:44+0000', tz='UTC'), Timestamp('2010-06-08 10:37:29+0000', tz='UTC'), Timestamp('2010-06-09 07:18:05+0000', tz='UTC')]",Create SW anomaly
93,Case103,6,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly']","['Value 2', 'Value 2', 'Value 15', 'Value 15', 'Value 15', 'Value 15']","[Timestamp('2010-06-07 07:30:54+0000', tz='UTC'), Timestamp('2010-06-07 07:49:10+0000', tz='UTC'), Timestamp('2010-06-07 15:16:44+0000', tz='UTC'), Timestamp('2010-06-08 10:37:29+0000', tz='UTC'), Timestamp('2010-06-09 07:18:05+0000', tz='UTC'), Timestamp('2010-06-09 07:18:28+0000', tz='UTC')]",Resolve ticket
94,Case1030,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-02-04 09:40:52+0000', tz='UTC')]",Assign seriousness
95,Case1030,2,"['Assign seriousness', 'Assign seriousness']","['Value 2', 'Value 2']","[Timestamp('2010-02-04 09:40:52+0000', tz='UTC'), Timestamp('2010-02-04 09:41:05+0000', tz='UTC')]",Take in charge ticket
96,Case1030,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-02-04 09:40:52+0000', tz='UTC'), Timestamp('2010-02-04 09:41:05+0000', tz='UTC'), Timestamp('2010-02-04 09:41:23+0000', tz='UTC')]",Create SW anomaly
97,Case1030,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Create SW anomaly']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-02-04 09:40:52+0000', tz='UTC'), Timestamp('2010-02-04 09:41:05+0000', tz='UTC'), Timestamp('2010-02-04 09:41:23+0000', tz='UTC'), Timestamp('2010-02-04 09:41:33+0000', tz='UTC')]",Resolve ticket
98,Case1031,1,['Assign seriousness'],['Value 8'],"[Timestamp('2011-02-24 13:41:36+0000', tz='UTC')]",Take in charge ticket
99,Case1031,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[Timestamp('2011-02-24 13:41:36+0000', tz='UTC'), Timestamp('2011-02-24 13:41:54+0000', tz='UTC')]",Wait
100,Case1031,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 9']","[Timestamp('2011-02-24 13:41:36+0000', tz='UTC'), Timestamp('2011-02-24 13:41:54+0000', tz='UTC'), Timestamp('2011-03-07 16:53:23+0000', tz='UTC')]",Take in charge ticket
101,Case1031,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 9', 'Value 9']","[Timestamp('2011-02-24 13:41:36+0000', tz='UTC'), Timestamp('2011-02-24 13:41:54+0000', tz='UTC'), Timestamp('2011-03-07 16:53:23+0000', tz='UTC'), Timestamp('2011-03-25 09:53:46+0000', tz='UTC')]",Resolve ticket
102,Case1032,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-04-11 15:07:25+0000', tz='UTC')]",Take in charge ticket
103,Case1032,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-04-11 15:07:25+0000', tz='UTC'), Timestamp('2012-04-11 15:07:34+0000', tz='UTC')]",Wait
104,Case1032,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[Timestamp('2012-04-11 15:07:25+0000', tz='UTC'), Timestamp('2012-04-11 15:07:34+0000', tz='UTC'), Timestamp('2012-04-17 12:29:31+0000', tz='UTC')]",Resolve ticket
105,Case1033,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-11-10 08:25:05+0000', tz='UTC')]",Take in charge ticket
106,Case1033,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[Timestamp('2011-11-10 08:25:05+0000', tz='UTC'), Timestamp('2011-11-18 11:29:26+0000', tz='UTC')]",Wait
107,Case1033,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 2']","[Timestamp('2011-11-10 08:25:05+0000', tz='UTC'), Timestamp('2011-11-18 11:29:26+0000', tz='UTC'), Timestamp('2011-11-23 16:07:21+0000', tz='UTC')]",Resolve ticket
108,Case1034,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-12-13 08:22:23+0000', tz='UTC')]",Take in charge ticket
109,Case1034,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[Timestamp('2011-12-13 08:22:23+0000', tz='UTC'), Timestamp('2011-12-13 08:27:18+0000', tz='UTC')]",Resolve ticket
110,Case1035,1,['Assign seriousness'],['Value 9'],"[Timestamp('2010-12-20 13:19:58+0000', tz='UTC')]",Assign seriousness
111,Case1035,2,"['Assign seriousness', 'Assign seriousness']","['Value 9', 'Value 2']","[Timestamp('2010-12-20 13:19:58+0000', tz='UTC'), Timestamp('2010-12-20 16:42:41+0000', tz='UTC')]",Take in charge ticket
112,Case1035,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 2', 'Value 2']","[Timestamp('2010-12-20 13:19:58+0000', tz='UTC'), Timestamp('2010-12-20 16:42:41+0000', tz='UTC'), Timestamp('2010-12-20 16:42:50+0000', tz='UTC')]",Wait
113,Case1035,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 2', 'Value 2', 'Value 9']","[Timestamp('2010-12-20 13:19:58+0000', tz='UTC'), Timestamp('2010-12-20 16:42:41+0000', tz='UTC'), Timestamp('2010-12-20 16:42:50+0000', tz='UTC'), Timestamp('2010-12-21 08:59:57+0000', tz='UTC')]",Take in charge ticket
114,Case1035,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 9', 'Value 2', 'Value 2', 'Value 9', 'Value 2']","[Timestamp('2010-12-20 13:19:58+0000', tz='UTC'), Timestamp('2010-12-20 16:42:41+0000', tz='UTC'), Timestamp('2010-12-20 16:42:50+0000', tz='UTC'), Timestamp('2010-12-21 08:59:57+0000', tz='UTC'), Timestamp('2010-12-22 16:57:41+0000', tz='UTC')]",Resolve ticket
115,Case1036,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-05-29 15:38:19+0000', tz='UTC')]",Take in charge ticket
116,Case1036,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-05-29 15:38:19+0000', tz='UTC'), Timestamp('2012-05-29 15:38:27+0000', tz='UTC')]",Wait
117,Case1036,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 1']","[Timestamp('2012-05-29 15:38:19+0000', tz='UTC'), Timestamp('2012-05-29 15:38:27+0000', tz='UTC'), Timestamp('2012-05-30 14:35:37+0000', tz='UTC')]",Take in charge ticket
118,Case1036,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 1', 'Value 1', 'Value 1', 'Value 1']","[Timestamp('2012-05-29 15:38:19+0000', tz='UTC'), Timestamp('2012-05-29 15:38:27+0000', tz='UTC'), Timestamp('2012-05-30 14:35:37+0000', tz='UTC'), Timestamp('2012-05-30 15:32:51+0000', tz='UTC')]",Resolve ticket
119,Case1037,1,['Assign seriousness'],['Value 4'],"[Timestamp('2011-10-24 10:11:15+0000', tz='UTC')]",Take in charge ticket
